ticker,total ESG score,,,,,
SSRM,29.2,,,,,
DHIL,29.2,,,,,
EAF,29.2,,,,,
UBER,29.2,,,,,
FBC,29.2,,,,,
GDOT,29.2,,,,,
RPRX,29.2,,,,,
NUS,29.2,,,,,
HOPE,29.1,,,,,
FMBH,29.1,,,,,
IBTX,29.1,,,,,
RVNC,29.1,,,,,
RCKT,29.1,,,,,
CVM,29.1,,,,,
PRLD,29.1,,,,,
FSR,29.1,,,,,
EHC,29.1,,,,,
MCY,29.1,,,,,
PFIS,29.1,,,,,
AGEN,29.1,,,,,
SPB,29.1,,,,,
PRK,29.1,,,,,
VMC,29,,,,,
PH,29,,,,,
HUN,29,,,,,
AEE,29,,,,,
EMR,29,,,,,
THO,29,,,,,
QRVO,29,,,,,
HON,29,,,,,
DD,29,,,,,
PNR,29,,,,,
INGR,29,,,,,
MPC,29,,,,,
TSLA,29,,,,,
IONS,29,,,,,
FE,29,,,,,
AAL,29,,,,,
SHW,29,,,,,
CE,29,,,,,
ALB,29,,,,,
SYK,29,,,,,
HOLX,29,,,,,
PSX,29,,,,,
ORI,29,,,,,
NFBK,29,,,,,
BCOV,29,,,,,
ANGO,29,,,,,
CXW,29,,,,,
TRNS,29,,,,,
FATE,29,,,,,
RARE,29,,,,,
SOI,29,,,,,
HOMB,28.9,,,,,
BFST,28.9,,,,,
IRWD,28.9,,,,,
PLTK,28.9,,,,,
FIBK,28.9,,,,,
CBU,28.9,,,,,
WVE,28.9,,,,,
GH,28.9,,,,,
GBCI,28.9,,,,,
TNGX,28.9,,,,,
GTES,28.8,,,,,
LXFR,28.8,,,,,
DOOR,28.8,,,,,
HYRE,28.8,,,,,
BUSE,28.8,,,,,
LPSN,28.8,,,,,
ALXO,28.8,,,,,
KIDS,28.8,,,,,
SKIN,28.8,,,,,
BLFS,28.8,,,,,
BALY,28.8,,,,,
ARNC,28.8,,,,,
TCX,28.7,,,,,
INGN,28.7,,,,,
FCF,28.7,,,,,
PACB,28.7,,,,,
URGN,28.7,,,,,
CRIS,28.7,,,,,
SMBC,28.7,,,,,
IMGN,28.7,,,,,
VBIV,28.7,,,,,
VNDA,28.7,,,,,
SHBI,28.7,,,,,
RRGB,28.7,,,,,
LBRT,28.7,,,,,
MCS,28.7,,,,,
ACHC,28.6,,,,,
CSII,28.6,,,,,
HBT,28.6,,,,,
SASR,28.6,,,,,
EVER,28.6,,,,,
NATH,28.6,,,,,
JYNT,28.6,,,,,
GTHX,28.6,,,,,
FLNT,28.6,,,,,
BANR,28.6,,,,,
AVXL,28.6,,,,,
BPMC,28.6,,,,,
CTLT,28.5,,,,,
RLI,28.5,,,,,
EGHT,28.5,,,,,
BCRX,28.5,,,,,
LAZR,28.5,,,,,
SEAS,28.5,,,,,
SBCF,28.4,,,,,
ESNT,28.4,,,,,
FCBC,28.4,,,,,
MBWM,28.4,,,,,
ENVX,28.4,,,,,
FDMT,28.4,,,,,
TRUE,28.3,,,,,
KYMR,28.3,,,,,
INSE,28.3,,,,,
SSTK,28.2,,,,,
TVTX,28.2,,,,,
RSI,28.2,,,,,
CRMD,28.2,,,,,
IBOC,28.2,,,,,
STTK,28.2,,,,,
WMS,28.1,,,,,
BTAI,28.1,,,,,
AXGN,28.1,,,,,
CRAI,28.1,,,,,
BHB,28.1,,,,,
CLBK,28.1,,,,,
PENN,28.1,,,,,
PGTI,28.1,,,,,
BECN,28.1,,,,,
RUBY,28.1,,,,,
WING,28.1,,,,,
PLAB,28.1,,,,,
CNA,28,,,,,
PEG,28,,,,,
DRI,28,,,,,
ABBV,28,,,,,
WEC,28,,,,,
HCA,28,,,,,
AWK,28,,,,,
SWKS,28,,,,,
HRL,28,,,,,
MNST,28,,,,,
PCAR,28,,,,,
LMT,28,,,,,
RAD,28,,,,,
GOGO,28,,,,,
EGAN,28,,,,,
VEL,28,,,,,
EVR,28,,,,,
TSHA,28,,,,,
PFC,28,,,,,
EPC,28,,,,,
TRMK,27.9,,,,,
PRFT,27.9,,,,,
UEIC,27.9,,,,,
CHH,27.9,,,,,
INBX,27.9,,,,,
CARA,27.9,,,,,
RRBI,27.9,,,,,
FCFS,27.9,,,,,
FAF,27.8,,,,,
APLT,27.8,,,,,
GMS,27.8,,,,,
DLTH,27.8,,,,,
IBCP,27.8,,,,,
INDB,27.8,,,,,
RLAY,27.8,,,,,
EB,27.8,,,,,
BLMN,27.8,,,,,
EGLE,27.8,,,,,
IRDM,27.8,,,,,
FTI,27.7,,,,,
ERII,27.7,,,,,
SBSI,27.7,,,,,
JACK,27.7,,,,,
TCBK,27.7,,,,,
ESPR,27.7,,,,,
PLNT,27.7,,,,,
MEIP,27.7,,,,,
BCOR,27.7,,,,,
CRDF,27.7,,,,,
UPST,27.6,,,,,
HBCP,27.6,,,,,
MDGL,27.6,,,,,
MGNX,27.6,,,,,
RUTH,27.6,,,,,
VSTM,27.6,,,,,
BV,27.6,,,,,
AMWL,27.6,,,,,
CORT,27.6,,,,,
ASLE,27.5,,,,,
MORF,27.5,,,,,
NNI,27.5,,,,,
SYNA,27.5,,,,,
THFF,27.5,,,,,
CCF,27.5,,,,,
FOLD,27.5,,,,,
WOLF,27.5,,,,,
PRCH,27.5,,,,,
VRT,27.5,,,,,
BCAB,27.5,,,,,
BSRR,27.5,,,,,
GPRO,27.4,,,,,
SPRB,27.4,,,,,
WEN,27.4,,,,,
MPLX,27.4,,,,,
PCSB,27.4,,,,,
PSTX,27.3,,,,,
TFSL,27.3,,,,,
MDC,27.3,,,,,
PLPC,27.3,,,,,
FMNB,27.3,,,,,
GOCO,27.2,,,,,
STEM,27.2,,,,,
ANGI,27.2,,,,,
PFSI,27.2,,,,,
ABMD,27.2,,,,,
RKT,27.2,,,,,
NG,27.2,,,,,
MRTX,27.2,,,,,
DTIL,27.2,,,,,
OIS,27.1,,,,,
MGI,27.1,,,,,
DM,27.1,,,,,
PRLB,27.1,,,,,
PETS,27.1,,,,,
CHRS,27.1,,,,,
INSM,27.1,,,,,
CTMX,27.1,,,,,
NKTX,27.1,,,,,
ALSN,27.1,,,,,
PVBC,27.1,,,,,
LBC,27.1,,,,,
INFU,27.1,,,,,
BJRI,27.1,,,,,
BOX,27.1,,,,,
NX,27.1,,,,,
NOC,27,,,,,
IAC,27,,,,,
EIX,27,,,,,
ERIE,27,,,,,
ON,27,,,,,
CHTR,27,,,,,
NDSN,27,,,,,
WYNN,27,,,,,
SGEN,27,,,,,
MKC,27,,,,,
